accuracy,f1,recall,precision,kind
0.48133163796092937,0.3690057657150893,0.4992389649923896,0.29266116439884005,system
0.79782684082765,0.6648783291818356,0.6601978691019786,0.6696256271709765,crowd
1.0,1.0,1.0,1.0,annotator
