accuracy,f1,recall,precision,attribute,data_num
0.41480446927374304,0.30282861896838603,0.41743119266055045,0.23759791122715404,所在地,716
0.41964285714285715,0.5185185185185185,0.4375,0.6363636363636364,読み,112
0.41416309012875535,0.4484848484848485,0.46638655462184875,0.43190661478599224,種類,466
0.3888888888888889,0.40769230769230763,0.42063492063492064,0.39552238805970147,植物,252
0.4097560975609756,0.41545893719806765,0.44329896907216493,0.39090909090909093,面積,205
0.445993031358885,0.22439024390243903,0.323943661971831,0.17164179104477612,観光地,287
0.8558758314855875,0.8243243243243243,0.8944281524926686,0.7644110275689223,動物,902
0.256198347107438,0.16666666666666666,0.36,0.10843373493975904,公園,121
0.12527964205816555,0.0,0.0,0.0,座標・緯度,447
0.1378504672897196,0.0,0.0,0.0,座標・経度,428
0.4270833333333333,0.1951219512195122,0.3448275862068966,0.1360544217687075,成因,288
0.9273670557717251,0.7910447761194029,0.7969924812030075,0.7851851851851852,別名,771
0.367816091954023,0.15384615384615383,0.37037037037037035,0.0970873786407767,形成時期,174
0.3333333333333333,0.4117647058823529,0.3684210526315789,0.4666666666666667,透明度,30
0.4434782608695652,0.43859649122807015,0.46296296296296297,0.4166666666666667,水質（淡水・汽水）,115
0.3076923076923077,0.10989010989010989,0.10416666666666667,0.11627906976744186,構成する湖沼,117
0.5145631067961165,0.13043478260869565,0.375,0.07894736842105263,島,412
0.5266272189349113,0.1836734693877551,0.6428571428571429,0.10714285714285714,幅,338
0.4807692307692308,0.45999999999999996,0.4423076923076923,0.4791666666666667,周囲長,104
0.43846153846153846,0.48226950354609927,0.4722222222222222,0.4927536231884058,水面標高,130
0.3684210526315789,0.36986301369863017,0.3875598086124402,0.3537117903930131,国,437
0.43333333333333335,0.0449438202247191,0.14285714285714285,0.02666666666666667,名前の謂れ,150
0.336734693877551,0.14473684210526314,0.23404255319148937,0.10476190476190476,産業,196
0.49612403100775193,0.5038167938931297,0.5,0.5076923076923077,最大水深,129
0.5,0.6000000000000001,0.5121951219512195,0.7241379310344828,平均水深,56
0.4003831417624521,0.29977628635346754,0.3850574712643678,0.2454212454212454,湖岸の地域区分,522
0.4523809523809524,0.14814814814814817,0.2857142857142857,0.1,水深,42
0.39215686274509803,0.3260869565217391,0.40540540540540543,0.2727272727272727,長さ,102
0.4117647058823529,0.44680851063829785,0.4585152838427948,0.43568464730290457,流入・流出河川,442
0.47435897435897434,0.48101265822784806,0.4222222222222222,0.5588235294117647,貯水量,78
0.25862068965517243,0.3174603174603175,0.47619047619047616,0.23809523809523808,橋・トンネル,58
0.4583333333333333,0.43478260869565216,0.45454545454545453,0.4166666666666667,国内位置,24
